obtrusive,[形]押しつけがましい
ode,[名]頌歌
offshoot,[名]副産物
ointment,[名]軟膏
omnipotent,[形]全能の
omniscient,[形]全知の
omnivorous,[形]雑食性の
oneness,[名]同一性
onerous,[形]煩わしい、面倒な
onlooker,[名]見物人
onus,[名]義務、負担、重荷
opinionated,[形]自説を固執する
optimal,[形]最良の
optimum,[名]最適条件
orator,[名]演説者、雄弁家
orchid,[名]ラン、ランの花
oscillate,[動]変動する
ostensible,[形]表向きの
ostentatious,[形]これみよがしの
ostracism,[名]追放
otter,[名]カワウソ
outlay,[名]支出、経費
outwit,[動]出し抜く
ovary,[名]卵巣
overbearing,[形]横柄な
overrate,[動]過大評価する
overtone,[名]ニュアンス 
oxide,[名]酸化物
pacify,[動]静める
padlock,[名]南京錠
pall,[名]棺，とばり
panacea,[名]万能薬
panhandle,[名]平なべの柄
parson,[名]聖職者
passbook,[名]銀行通帳
pathological,[形]病理学の
patter,[名]パタパタという音
peal,[名]響き
pedagogy,[名]教育学
pedantic,[形]学者ぶった
peddler,[名]行商人
peevish,[形]気難しい
pellet,[名]丸薬
pelt,[動]激しく降る 
pelvis,[名]骨盤
penance,[名]ざんげ
pensive,[形]考え込んでいる
peppery,[形]こしょうの味がする
perfunctory,[形]お座なりの
periphery,[名]周囲、末梢、周辺
periscope,[名]潜望鏡
permeate,[動]染み込む
perpendicular,[名]垂線
persimmon,[名]柿
pert,[形]生意気な
peruse,[動]熟読する
petulant,[形]怒りっぽい
pheasant,[名]キジ
phosphorus,[名]リン
physiology,[名]生理学
piecemeal,[名]少し
pigment,[名]色素
pike,[名]槍(やり)、ほこ
pilfer,[動]盗む
pillage,[名]略奪品
pique,[名]立腹
plaintive,[名]悲しげな（声）
plebiscite,[名]国民投票
plenary,[形]全員出席の
plethora,[名]過多、過剰
plod,[名]とぼとぼとした歩み
plumage,[名]羽
plumb,[名]おもり
polarize,[動]分裂させる、両極に分ける
polemic,[名]論争、反論
polyglot,[名]数か国語に通じた人
pomp,[名]華やかさ
pompous,[形]大げさな
ponderous,[形]重々しい
